DATE,Mean_Level
1969-12-31,2.563544538666429
1970-12-31,2.606973634807954
1971-12-31,3.147063716112938
1972-12-31,2.592738052039997
1973-12-31,2.902804814096357
1974-12-31,3.5180075886635356
1975-12-31,3.7524936772552646
1976-12-31,3.9219443433974326
1977-12-31,3.8026158986927245
1978-12-31,3.912644494263684
1979-12-31,3.9465575313945878
1980-12-31,3.842448703314742
1981-12-31,4.048881694077404
1982-12-31,3.584895691302137
1983-12-31,4.279500519453888
1984-12-31,4.245580150939983
1985-12-31,4.300772504197811
1986-12-31,4.469528608433423
1987-12-31,4.997003788548461
1988-12-31,4.8615581132017525
1989-12-31,4.9288008230042735
1990-12-31,5.4660984882451995
1991-12-31,9.608628770230872
1992-12-31,12.722618638213142
1993-12-31,14.990082925531013
1994-12-31,9.747586534326793
1995-12-31,8.009191377424496
1996-12-31,9.473662841319303
1997-12-31,6.982630250700603
1998-12-31,6.63456539408763
1999-12-31,5.632723543258686
2000-12-31,5.993036477021412
2001-12-31,6.239813674611715
2002-12-31,6.566363225274553
2003-12-31,6.484633937584541
2004-12-31,6.876518549061816
2005-12-31,7.134542259390374
2006-12-31,7.493454394388665
2007-12-31,7.573353066430926
2008-12-31,7.219314982480878
2009-12-31,11.099315207055408
2010-12-31,9.11185141590748
2011-12-31,8.637863595032005
2012-12-31,9.006687548087124
2013-12-31,11.43897608958083
2014-12-31,13.942519264725545
2015-12-31,17.18169750452566
2016-12-31,21.27548643283795
2017-12-31,16.551434167003144
2018-12-31,16.94450391386719
2019-12-31,31.87581643220418
